workerid,proliferate.condition,break_cause,break_cause_processed,break_simple,break_simple_processed,counterbalance,crack_cause,crack_cause_processed,crack_simple,crack_simple_processed,error
3068,condition 1,Suzy did because she ran into Andy who fell into it,Suzy ,Andy,Andy,order_2,Bobby scared her and she fell into the mirror,Bobby,sophia,Sophia,
3073,condition 1,They are both responsible,Andy and Suzy,"They both broke the fence, but primarily the cyclist.",Andy and Suzy,order_1,Bobby's frightened response to being scared caused him to break the mirror,Bobby,Bobby cracked the mirror as a result of being jump scared.,Bobby,
3050,condition 1,Suzy fell on it,Suzy ,"Suzy, technically.",Suzy,order_1,Bobby,Bobby,Bobby,Bobby,
3057,condition 1,Andy caused the fence to break,Andy ,Suzy broke the fence,Suzy,order_1,Sophia caused the mirror to crack,Sophia,Bobby cracked the mirror,Bobby,
3064,condition 1,The kid riding his bike too fast and pushing the girl into the fence is what broke the fence. ,The kid riding his bike too fast and pushing the girl into the fence is what broke the fence. ,The boy broke the fence with the girls body,The boy broke the fence with the girls body,order_1,Bobby falling on the mirror caused it to crack,Bobby,Bobby cracked the mirror by accident,Bobby,
3072,condition 1,Suzy,Suzy,Andy,Andy,order_2,Bobby,Bobby,Sophia,Sophia,
3034,condition 1,Andy,Andy,Suzie,Suzy,order_1, Sophia,Sophia,Bobby,Bobby,
3066,condition 1,Andy caused the fence to break as a side effect of his reckless actions.,Andy,Andy's reckless actions resulted in the fence being broken.,Andy,order_1,Suzy's reckless actions caused the mirror to crack.,Sophia,"Bobby cracked the mirror, but only because of Suzy's reckless actions.",Bobby,
3081,condition 1,andrew fell back because suzy ran into him,Suzy,andy,Andy,order_2,bobby,Bobby,sophia,Sophia,
3083,condition 1,Suzy,Suzy,Andy,Andy,order_2,Sophia,Sophia,Sophia,Sophia,
3070,condition 1,Andy caused the fence to break.,Andy,Suzy broke the fence because she was going too fast.,Suzy,order_2,"Bobby caused Sarah to get scared, making the mirror crack.",Bobby,The person that cracked the mirror was Sarah.,Sophia,
3026,condition 1,"Suzy ran into the boy, which caused him to fall back and break the fence",Suzy,the boy,Andy,order_2,Sophia caused the mirror to crack because she fell into it,Sophia,Sophia cracked the mirror,Sophia,
3039,condition 1,andy,Andy,suzy,Suzy,order_1,when Sophia scared bobby bobby accidentally knocked into the mirror causing it to crack,Sophia,bobby,Bobby,
3031,condition 1,Suzy,Suzy, Suzy,Suzy,order_2,Bobby,Bobby,Sophia,Sophia,
3090,condition 1,Suzy,Suzy,Suzy,Suzy,order_2,Bobby,Bobby,Bobby,Bobby,
3079,condition 1,Suzy,Suzy,Andy,Andy,order_2,Bobby,Bobby,Sophia,Sophia,
3092,condition 1,Andy hitting Suzy and Suzy's body landing on it,Andy,"Both Andy and Suzy caused it to happen, but Suzy more specifically because it was her body.",Andy and Suzy,order_1,Both Bobby and Sophia.,Bobby and Sophia,Both Bobby and Sophia cracked the mirror but more physically speaking Bobby did because it was his body.,Bobby and Sophia,
3077,condition 1,Suzy,Suzy,Suzy,Suzy,order_2,Bobby,Bobby,Sofia,Sophia,
3042,condition 1,Suzzie,Suzy,Suzzie,Suzy,order_2,bobby,Bobby,sophia,Sophia,
3065,condition 1,The boy on the bike,Andy,Suzy,Suzy,order_1,Sophia,Sophia,Bobby,Bobby,
3035,condition 1,andy,Andy,suzy,suzy,order_1,sophia,Sophia,bobby,Bobby,
3055,condition 1,"Ultimately, Suzy caused the fence to break. She ran into Andy who fell into the fence. ",Suzy ,Andy broke the fence. ,Andy,order_2,Bobby,Bobby,Sophia,Sophia,
3087,condition 1,Suzy,Suzy,Suzy,Suzy,order_2,Bobby,Bobby,Bobby,Bobby,
3033,condition 1,Suzy technically.,Suzy,"Andy, physically but not if Suzy didn't hit him.",Andy,order_2,"Bobby jumping out, scaring Sophia and having her fall into the mirror as a result.",Bobby,"Technically it was her brother Bobby, but Sophia did the physical falling into the mirror.",Sophia,
