participant_number,response_id,date_and_time,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,counterbalance,caused_question_order,question_type,full_response,response,notes
1,108156,11/1/2022 4:15 PM,a69d602c-872b-400f-b3e3-0a519e1cf2ff,1461-1826,1470,male,en,mirror_crack,bobby,first,caused,Sophia.,Sophia,
1,108156,11/1/2022 4:15 PM,a69d602c-872b-400f-b3e3-0a519e1cf2ff,1461-1826,1470,male,en,mirror_crack,bobby,first,crack,Bobby.,Bobby,
1,108156,11/1/2022 4:15 PM,a69d602c-872b-400f-b3e3-0a519e1cf2ff,1461-1826,1470,male,en,fence_break,suzy,second,break,Andy.,Andy,
1,108156,11/1/2022 4:15 PM,a69d602c-872b-400f-b3e3-0a519e1cf2ff,1461-1826,1470,male,en,fence_break,suzy,second,caused,Suzy.,Suzy,
2,108182,11/1/2022 7:32 PM,6f14bfc3-ba76-44b5-ad6c-98fae69171e2,1461-1826,1590,male,en,fence_break,suzy,first,caused,Suzy.,Suzy,
2,108182,11/1/2022 7:32 PM,6f14bfc3-ba76-44b5-ad6c-98fae69171e2,1461-1826,1590,male,en,fence_break,suzy,first,break,Suzy.,Suzy,
2,108182,11/1/2022 7:32 PM,6f14bfc3-ba76-44b5-ad6c-98fae69171e2,1461-1826,1590,male,en,mirror_crack,bobby,second,crack,Sophia.,Sophia,
2,108182,11/1/2022 7:32 PM,6f14bfc3-ba76-44b5-ad6c-98fae69171e2,1461-1826,1590,male,en,mirror_crack,bobby,second,caused,Sophia.,Sophia,
3,108308,11/2/2022 12:52 PM,e415cb1d-f61b-4d9a-909f-89b4cde5fc9b,1461-1826,1770,male,en,mirror_crack,sophia,first,caused,Sophia.,Sophia,
3,108308,11/2/2022 12:52 PM,e415cb1d-f61b-4d9a-909f-89b4cde5fc9b,1461-1826,1770,male,en,mirror_crack,sophia,first,crack,Sophia.,Sophia,
3,108308,11/2/2022 12:52 PM,e415cb1d-f61b-4d9a-909f-89b4cde5fc9b,1461-1826,1770,male,en,fence_break,andy,first,caused,Andy.,Andy,
3,108308,11/2/2022 12:52 PM,e415cb1d-f61b-4d9a-909f-89b4cde5fc9b,1461-1826,1770,male,en,fence_break,andy,first,break,Andy.,Andy,
4,108384,11/2/2022 6:48 PM,0f6a3a93-3b9c-4159-a9c7-1491afd66202,1461-1826,1470,male,en,mirror_crack,bobby,first,caused,Bobby.,Bobby,
4,108384,11/2/2022 6:48 PM,0f6a3a93-3b9c-4159-a9c7-1491afd66202,1461-1826,1470,male,en,mirror_crack,bobby,first,crack,Sophia.,Sophia,
4,108384,11/2/2022 6:48 PM,0f6a3a93-3b9c-4159-a9c7-1491afd66202,1461-1826,1470,male,en,fence_break,suzy,first,caused,Suzy.,Suzy,
4,108384,11/2/2022 6:48 PM,0f6a3a93-3b9c-4159-a9c7-1491afd66202,1461-1826,1470,male,en,fence_break,suzy,first,break,Andy.,Andy,
