workerid,proliferate.condition,break_cause,break_cause_processed,break_simple,break_simple_processed,counterbalance,crack_cause,crack_cause_processed,crack_simple,crack_simple_processed,error
3748,condition 1,The boy,Andy,The boy,Andy,order_1,Bobby,Bobby,Bobby,Bobby,
3749,condition 1, Suzzy did by crashing into him.,Suzy,Suzzy did.,Suzy,order_2, Sophia did.,Sophia,Sophia did.,Sophia,
3750,condition 1,Suzy,Suzy,"Suzy
",Suzy,order_1,Bobby,Bobby,Bobby,Bobby,
3751,condition 1,The girl on the bike,Suzy,Girl on the  bike,Suzy,order_2,Bobby,Bobby,Sophia,Sophia,
3752,condition 1,suzy,Suzy,"andy
",Andy,order_2,,unsure,sophia,Sophia,
3754,condition 1,Suzy.,Suzy,"Suzy.
",Suzy,order_2,Bobby.,Bobby,Bobby.,Bobby,
3755,condition 1,"Andy
",Andy,Andy,Andy,order_2,Sophia being scared.,Sophia,Sophia,Sophia,
3756,condition 1,The boy,Andy,The boy,Andy,order_2, Sophia,Sophia,Sophia,Sophia,
3757,condition 1,Andy,Andy,Suzy,Suzy,order_1,Bobby,Bobby,Bobby,Bobby,
3758,condition 1,Andy,Andy,Susie,Suzy,order_1,Sophia,Sophia,Bobby,Bobby,
3759,condition 1,andy,Andy,suzy,Suzy,order_1,bobby,Bobby,bobby,Bobby,
3760,condition 1,andy,Andy,andy,Andy,order_1,sophia and bobby,Bobby and Sophia,sophia and bobby,Bobby and Sophia,
3761,condition 1,Andy,Andy,Andy,Andy,order_1,Bobby,Bobby,Bobby,Bobby,
3762,condition 1,suzy,Suzy,suzy,Suzy,order_2,bobby,Bobby,bobby,Bobby,
3763,condition 1,The girl made the fence break because she should have been more careful when riding her bike so fast.,Suzy,That looks painful.,unsure,order_2,Sophia because Bobby scared her but he didn’t know she would react that dramatically.,Sophia, I was surprised that Sophia broke the mirror.,Sophia,
3764,condition 1,Suzy,Suzy,Suzy,Suzy,order_1,Bobby,Bobby,Bobby,Bobby,
3765,condition 1,Suzie,Suzy,Suzie,Suzy,order_1,Bobbie,Bobby,Bobbie,Bobby,
3767,condition 1,suzy,Suzy,andy,Andy,order_2,bobby by scaring sophia,Bobby,bobby by scaring sophia ,Bobby,
3769,condition 1,Andy,Andy,Suzy,Suzy,order_1,Bobby,Bobby,Sophia,Sophia,
3770,condition 1,Suzy,Suzy,Suzy,Suzy,order_2,Bobby,Bobby,Bobby,Bobby,
3771,condition 1,Suzy did by hitting andy,Suzy,Suzy by hitting andy,Suzy,order_2,Bobby did by scaring sophia causing her to go into the mirror,Bobby,bobby did by causing sophia to lose her balance.,Bobby,
3772,condition 1,Andy,Andy,Andy,Andy,order_1,Both,Bobby and Sophia,Bobby,Bobby,
3773,condition 1,Andy,Andy,Suzy,Suzy,order_1,Sophia,Sophia,Bobby,Bobby,
3776,condition 1,andy,Andy,suzy,Suzy,order_1,bobby,Bobby,bobby,Bobby,
3777,condition 1,Suzy did because she caused the collision.,Suzy,Suzy because she caused the accident.,Suzy,order_2,Sophia made the mirror crack.,Sophia,Bobby caused the mirror to crack from the prank.,Bobby,
3778,condition 1,Suzy,Suzy,Suzy,Suzy,order_1,Bobby,Bobby,Bobby cracked the mirror,Bobby,
3779,condition 1," Andy directly, [the girl] indirectly  ",Suzy and Andy," Andy directly, [the girl] indirectly  ",Andy,order_2,"Sophia directly, Bobby indirectly ",Sophia," Sophia directly, Bobby indirectly ",unsure,
3780,condition 1,boy on bike,Andy,Suzy,Suzy,order_1,Sophia,Sophia,Bobby,Bobby,
3781,condition 1,suzy,Suzy,andy,Andy,order_1,bobby,Bobby,bobby,Bobby,
