workerid,proliferate.condition,age,gender,race,error
3800,condition 1,51,Male,White,
3763,condition 1,19,Female,White,
3789,condition 1,27,Male,White,
3798,condition 1,46,Female,Black/African American,
3814,condition 1,52,Female,White,
3781,condition 1,25,Non-binary,White,
3773,condition 1,39,Female,White,
3793,condition 1,54,Female,White,
3748,condition 1,24,Non-binary,White,
3804,condition 1,21,Female,White,
3761,condition 1,21,Female,White,
3796,condition 1,25,Female,White,
3797,condition 1,57,Female,White,
3771,condition 1,32,Male,White,
3805,condition 1,65,Female,White,
3777,condition 1,58,Female,Asian,
3756,condition 1,58,Female,White,
3751,condition 1,52,Female,White,
3813,condition 1,49,Male,White,
3802,condition 1,47,Female,,
3815,condition 1,31,Male,Black/African American,
3791,condition 1,23,Male,Asian,
3764,condition 1,27,Male,White,
3757,condition 1,21,Non-binary,Asian,
3788,condition 1,23,Female,White,
3759,condition 1,25,Non-binary,other_race,
3806,condition 1,26,Female,other_race,
3754,condition 1,27,Non-binary,White,
3765,condition 1,52,Male,White,
3758,condition 1,34,Female,White,
3795,condition 1,27,Female,White,
3790,condition 1,29,Male,White,
3807,condition 1,38,Male,White,
3752,condition 1,43,Female,White,
3785,condition 1,27,Male,Asian,
3779,condition 1,45,Male,White,
3767,condition 1,23,Female,White,
3782,condition 1,41,Male,White,
3778,condition 1,29,Male,White,
3811,condition 1,30,Male,Black/African American,
3749,condition 1,28,Male,Asian,
3760,condition 1,27,Non-binary,White,
3794,condition 1,30,Male,White,
3769,condition 1,58,Female,White,
3776,condition 1,57,Female,White,
3750,condition 1,33,Male,White,
3812,condition 1,20,Non-binary,other_race,
3808,condition 1,23,Female,White,
3783,condition 1,24,Female,White,
3780,condition 1,33,Male,Asian,
3762,condition 1,23,Female,other_race,
3755,condition 1,29,Female,Black/African American,
3809,condition 1,25,Female,White,
3772,condition 1,37,Male,White,
3787,condition 1,35,Male,White,
3792,condition 1,34,Male,White,
3784,condition 1,31,Male,Black/African American,
3770,condition 1,41,Female,White,
3799,condition 1,25,Female,White,
3810,condition 1,39,Male,White,
