participant,rounded_age,lan_spoken,scenario,counterbalance,made_question_order,question,response,distal,proximal,age,age_whole,age_character,response_pattern
1,1800,en,fence_break,suzy,second,lexical,suzy,1,0,4.93,4,4,different
1,1800,en,fence_break,suzy,second,made,suzy,1,0,4.93,4,4,different
1,1800,en,mirror_crack,bobby,first,made,sophia,0,1,4.93,4,4,different
1,1800,en,mirror_crack,bobby,first,lexical,sophia,0,1,4.93,4,4,different
2,1530,en,fence_break,suzy,first,made,suzy,1,0,4.19,4,4,different
2,1530,en,fence_break,suzy,first,lexical,suzy,1,0,4.19,4,4,different
2,1530,en,mirror_crack,bobby,first,made,bobby,1,0,4.19,4,4,different
2,1530,en,mirror_crack,bobby,first,lexical,bobby,1,0,4.19,4,4,different
4,1800,en,fence_break,andy,second,lexical,suzy,0,1,4.93,4,4,different
4,1800,en,fence_break,andy,second,made,suzy,0,1,4.93,4,4,different
4,1800,en,mirror_crack,sophia,second,lexical,bobby,0,1,4.93,4,4,different
4,1800,en,mirror_crack,sophia,second,made,bobby,0,1,4.93,4,4,different
5,1710,en,mirror_crack,bobby,second,lexical,sophia,0,1,4.68,4,4,different
5,1710,en,mirror_crack,bobby,second,made,sophia,0,1,4.68,4,4,different
5,1710,en,fence_break,suzy,first,made,andy,0,1,4.68,4,4,different
5,1710,en,fence_break,suzy,first,lexical,andy,0,1,4.68,4,4,different
6,1470,en,fence_break,suzy,first,made,suzy,1,0,4.03,4,4,different
6,1470,en,fence_break,suzy,first,lexical,suzy,1,0,4.03,4,4,different
6,1470,en,mirror_crack,bobby,first,made,sophia,0,1,4.03,4,4,different
6,1470,en,mirror_crack,bobby,first,lexical,bobby,1,0,4.03,4,4,different
8,1650,en,fence_break,andy,first,made,suzy,0,1,4.52,4,4,different
8,1650,en,fence_break,andy,first,lexical,suzy,0,1,4.52,4,4,different
8,1650,en,mirror_crack,sophia,first,made,bobby,0,1,4.52,4,4,different
8,1650,en,mirror_crack,sophia,first,lexical,bobby,0,1,4.52,4,4,different
9,1590,en,fence_break,suzy,first,made,andy,0,1,4.36,4,4,different
9,1590,en,fence_break,suzy,first,lexical,andy,0,1,4.36,4,4,different
9,1590,en,mirror_crack,bobby,first,made,sophia,0,1,4.36,4,4,different
9,1590,en,mirror_crack,bobby,first,lexical,sophia,0,1,4.36,4,4,different
10,1530,en pl so,mirror_crack,bobby,second,lexical,sophia,0,1,4.19,4,4,different
10,1530,en pl so,mirror_crack,bobby,second,made,sophia,0,1,4.19,4,4,different
11,1590,en it,mirror_crack,bobby,second,lexical,sophia,0,1,4.36,4,4,different
11,1590,en it,mirror_crack,bobby,second,made,sophia,0,1,4.36,4,4,different
11,1590,en it,fence_break,suzy,second,lexical,andy,0,1,4.36,4,4,different
11,1590,en it,fence_break,suzy,second,made,andy,0,1,4.36,4,4,different
12,1530,en so,mirror_crack,bobby,first,made,sophia,0,1,4.19,4,4,different
12,1530,en so,mirror_crack,bobby,first,lexical,sophia,0,1,4.19,4,4,different
12,1530,en so,fence_break,suzy,second,lexical,andy,0,1,4.19,4,4,different
12,1530,en so,fence_break,suzy,second,made,andy,0,1,4.19,4,4,different
13,1740,en ml,fence_break,suzy,first,made,andy,0,1,4.77,4,4,different
13,1740,en ml,fence_break,suzy,first,lexical,andy,0,1,4.77,4,4,different
13,1740,en ml,mirror_crack,bobby,second,lexical,sophia,0,1,4.77,4,4,different
13,1740,en ml,mirror_crack,bobby,second,made,sophia,0,1,4.77,4,4,different
14,1710,en ro,fence_break,suzy,first,made,suzy,1,0,4.68,4,4,different
14,1710,en ro,fence_break,suzy,first,lexical,andy,0,1,4.68,4,4,different
14,1710,en ro,mirror_crack,bobby,second,lexical,sophia,0,1,4.68,4,4,different
14,1710,en ro,mirror_crack,bobby,second,made,bobby,1,0,4.68,4,4,different
15,1740,en,fence_break,andy,second,lexical,andy,1,0,4.77,4,4,different
15,1740,en,fence_break,andy,second,made,andy,1,0,4.77,4,4,different
15,1740,en,mirror_crack,sophia,second,lexical,sophia,1,0,4.77,4,4,different
15,1740,en,mirror_crack,sophia,second,made,sophia,1,0,4.77,4,4,different
16,1590,en,mirror_crack,bobby,first,made,sophia,0,1,4.36,4,4,different
16,1590,en,mirror_crack,bobby,first,lexical,sophia,0,1,4.36,4,4,different
16,1590,en,fence_break,suzy,first,made,andy,0,1,4.36,4,4,different
16,1590,en,fence_break,suzy,first,lexical,andy,0,1,4.36,4,4,different
17,1800,en,fence_break,andy,second,lexical,suzy,0,1,4.93,4,4,different
17,1800,en,fence_break,andy,second,made,suzy,0,1,4.93,4,4,different
17,1800,en,mirror_crack,sophia,first,made,bobby,0,1,4.93,4,4,different
17,1800,en,mirror_crack,sophia,first,lexical,bobby,0,1,4.93,4,4,different
18,1770,en,mirror_crack,bobby,first,made,bobby,1,0,4.85,4,4,different
18,1770,en,mirror_crack,bobby,first,lexical,sophia,0,1,4.85,4,4,different
18,1770,en,fence_break,suzy,first,made,suzy,1,0,4.85,4,4,different
18,1770,en,fence_break,suzy,first,lexical,andy,0,1,4.85,4,4,different
19,1770,en,mirror_crack,sophia,first,made,bobby,0,1,4.85,4,4,different
19,1770,en,mirror_crack,sophia,first,lexical,bobby,0,1,4.85,4,4,different
19,1770,en,fence_break,andy,first,made,andy,1,0,4.85,4,4,different
