participant_number,response_id,date_and_time,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,counterbalance,made_question_order,question_type,full_response,response,notes
1,112264,12/6/22 20:27,50c31dd8-8979-4af6-bd7b-7f482be748da,1461-1826,1800,female,en,fence_break,Suzy,second,break,Suzy.,Suzy,
1,112264,12/6/22 20:27,50c31dd8-8979-4af6-bd7b-7f482be748da,1461-1826,1800,female,en,fence_break,Suzy,second,made,Suzy. I said Suzy broke the fence.,Suzy,
1,112264,12/6/22 20:27,50c31dd8-8979-4af6-bd7b-7f482be748da,1461-1826,1800,female,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
1,112264,12/6/22 20:27,50c31dd8-8979-4af6-bd7b-7f482be748da,1461-1826,1800,female,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
2,112346,12/7/22 18:07,c2b95c90-665e-4934-b80d-c6d7908bd67e,1461-1826,1530,male,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,parent pointed out characters' names again
2,112346,12/7/22 18:07,c2b95c90-665e-4934-b80d-c6d7908bd67e,1461-1826,1530,male,en,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
2,112346,12/7/22 18:07,c2b95c90-665e-4934-b80d-c6d7908bd67e,1461-1826,1530,male,en,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,didn't say anything until parent restated the question and child needed parent to remind them of the names
2,112346,12/7/22 18:07,c2b95c90-665e-4934-b80d-c6d7908bd67e,1461-1826,1530,male,en,mirror_crack,Bobby,first,crack,"""Bobby.""",Bobby,
3,112366,12/8/22 7:57,6e293a3c-b01f-4099-a4c7-786a8a53bc1c,1461-1826,1530,female,,fence_break,Andy,first,made,"""Suzy.""",Suzy,"didn't say anything until parent asked, repeating names Andy or Suzy"
3,112366,12/8/22 7:57,6e293a3c-b01f-4099-a4c7-786a8a53bc1c,1461-1826,1530,female,,fence_break,Andy,first,break,"""Suzy.""",Suzy,
3,112366,12/8/22 7:57,6e293a3c-b01f-4099-a4c7-786a8a53bc1c,1461-1826,1530,female,,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,"didn't say anything until parent asked, repeating names Sophia or Bobby"
3,112366,12/8/22 7:57,6e293a3c-b01f-4099-a4c7-786a8a53bc1c,1461-1826,1530,female,,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
4,112574,12/9/22 13:34,72c7d6e0-d888-4b54-8660-8015ae7906fe,1461-1826,1800,female,en,fence_break,Andy,second,break,"""Suzy.""",Suzy,
4,112574,12/9/22 13:34,72c7d6e0-d888-4b54-8660-8015ae7906fe,1461-1826,1800,female,en,fence_break,Andy,second,made,"""Suzy.""",Suzy,
4,112574,12/9/22 13:34,72c7d6e0-d888-4b54-8660-8015ae7906fe,1461-1826,1800,female,en,mirror_crack,Sophia,second,crack,"""Bobby.""",Bobby,
4,112574,12/9/22 13:34,72c7d6e0-d888-4b54-8660-8015ae7906fe,1461-1826,1800,female,en,mirror_crack,Sophia,second,made,"""Bobby.""",Bobby,
5,112675,12/10/22 9:33,184023bc-448c-439d-bb47-9947263fbece,1461-1826,1710,female,en,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
5,112675,12/10/22 9:33,184023bc-448c-439d-bb47-9947263fbece,1461-1826,1710,female,en,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
5,112675,12/10/22 9:33,184023bc-448c-439d-bb47-9947263fbece,1461-1826,1710,female,en,fence_break,Suzy,first,made,"""Andy.""",Andy,
5,112675,12/10/22 9:33,184023bc-448c-439d-bb47-9947263fbece,1461-1826,1710,female,en,fence_break,Suzy,first,break,"""Andy.""",Andy,
6,112714,12/10/22 13:16,24786b2d-1ff7-408b-8eaf-4d3c9d8cc246,1461-1826,1470,female,en,fence_break,Suzy,first,made,"""Suzy.""",Suzy,
6,112714,12/10/22 13:16,24786b2d-1ff7-408b-8eaf-4d3c9d8cc246,1461-1826,1470,female,en,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
6,112714,12/10/22 13:16,24786b2d-1ff7-408b-8eaf-4d3c9d8cc246,1461-1826,1470,female,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
6,112714,12/10/22 13:16,24786b2d-1ff7-408b-8eaf-4d3c9d8cc246,1461-1826,1470,female,en,mirror_crack,Bobby,first,crack,"""Bobby.""",Bobby,
7,112743,12/10/22 15:24,df9445e7-25a2-4f0b-813b-3c8863f3c1f9,1461-1826,1590,female,,fence_break,Suzy,first,made,"""Suzy.""",Suzy,
7,112743,12/10/22 15:24,df9445e7-25a2-4f0b-813b-3c8863f3c1f9,1461-1826,1590,female,,fence_break,Suzy,first,break,"""Suzy.""",Suzy,
7,112743,12/10/22 15:24,df9445e7-25a2-4f0b-813b-3c8863f3c1f9,1461-1826,1590,female,,mirror_crack,Bobby,first,made,"""Bobby.""",Bobby,
7,112743,12/10/22 15:24,df9445e7-25a2-4f0b-813b-3c8863f3c1f9,1461-1826,1590,female,,mirror_crack,Bobby,first,crack,"""Bobby.""",Bobby,
8,112780,12/11/22 10:03,8150f55d-32ce-487b-a885-53704bb79f81,1461-1826,1650,female,en,fence_break,Andy,first,made,"""Suzy.""",Suzy,
8,112780,12/11/22 10:03,8150f55d-32ce-487b-a885-53704bb79f81,1461-1826,1650,female,en,fence_break,Andy,first,break,"""Suzy.""",Suzy,
8,112780,12/11/22 10:03,8150f55d-32ce-487b-a885-53704bb79f81,1461-1826,1650,female,en,mirror_crack,Sophia,first,made,"""Bobby.""",Bobby,
8,112780,12/11/22 10:03,8150f55d-32ce-487b-a885-53704bb79f81,1461-1826,1650,female,en,mirror_crack,Sophia,first,crack,"""Bobby.""",Bobby,
9,112835,12/11/22 15:13,8dbe3bec-071f-4b7b-a4ed-778e6aeb6d10,1461-1826,1590,male,en,fence_break,Suzy,first,made,"""Andy.""",Andy,
9,112835,12/11/22 15:13,8dbe3bec-071f-4b7b-a4ed-778e6aeb6d10,1461-1826,1590,male,en,fence_break,Suzy,first,break,"""Andy.""",Andy,
9,112835,12/11/22 15:13,8dbe3bec-071f-4b7b-a4ed-778e6aeb6d10,1461-1826,1590,male,en,mirror_crack,Bobby,first,made,"""Sophia.""",Sophia,
9,112835,12/11/22 15:13,8dbe3bec-071f-4b7b-a4ed-778e6aeb6d10,1461-1826,1590,male,en,mirror_crack,Bobby,first,crack,"""Sophia.""",Sophia,
10,112965,12/12/22 16:00,05137bba-abbf-4a24-bd32-0dc9d43e0aa5,1461-1826,1530,female,en pl so,mirror_crack,Bobby,second,crack,"""Both of them.""""Sophia"" ",Sophia,"child originally said both of them but when parent asked ""Bobby or Sophia, who cracked the mirror?"" child said Sophia"
10,112965,12/12/22 16:00,05137bba-abbf-4a24-bd32-0dc9d43e0aa5,1461-1826,1530,female,en pl so,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
10,112965,12/12/22 16:00,05137bba-abbf-4a24-bd32-0dc9d43e0aa5,1461-1826,1530,female,en pl so,fence_break,Suzy,second,break,"""I don-'t... Both""",Suzy and Andy,
10,112965,12/12/22 16:00,05137bba-abbf-4a24-bd32-0dc9d43e0aa5,1461-1826,1530,female,en pl so,fence_break,Suzy,second,made,"""Both of them.""",Suzy and Andy,
11,112975,12/12/22 16:35,cace20ba-8e4c-46ea-a50b-0ed279a69981,1461-1826,1590,female,en it,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,parent repeated question and child nonverbally pointed to a character. parent clarified Sophia
11,112975,12/12/22 16:35,cace20ba-8e4c-46ea-a50b-0ed279a69981,1461-1826,1590,female,en it,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
11,112975,12/12/22 16:35,cace20ba-8e4c-46ea-a50b-0ed279a69981,1461-1826,1590,female,en it,fence_break,Suzy,second,break,"""He did"" Andy.",Andy,parent clarified Andy
11,112975,12/12/22 16:35,cace20ba-8e4c-46ea-a50b-0ed279a69981,1461-1826,1590,female,en it,fence_break,Suzy,second,made,"""Andy.""",Andy,
12,113015,12/12/22 20:13,ba4f6e07-a5c4-476f-ba89-966408aca879,1461-1826,1530,female,en so,mirror_crack,Bobby,first,made,Sophia.,Sophia,
12,113015,12/12/22 20:13,ba4f6e07-a5c4-476f-ba89-966408aca879,1461-1826,1530,female,en so,mirror_crack,Bobby,first,crack,Sophia.,Sophia,
12,113015,12/12/22 20:13,ba4f6e07-a5c4-476f-ba89-966408aca879,1461-1826,1530,female,en so,fence_break,Suzy,second,break,"""Andy.""",Andy,
12,113015,12/12/22 20:13,ba4f6e07-a5c4-476f-ba89-966408aca879,1461-1826,1530,female,en so,fence_break,Suzy,second,made,"""Andy.""",Andy,
13,113127,12/13/22 15:30,7955e307-e879-4cc7-a3ed-cf7482ed9252,1461-1826,1740,male,en ml,fence_break,Suzy,first,made,"""Andy.""",Andy,
13,113127,12/13/22 15:30,7955e307-e879-4cc7-a3ed-cf7482ed9252,1461-1826,1740,male,en ml,fence_break,Suzy,first,break,"""Andy.""",Andy,
13,113127,12/13/22 15:30,7955e307-e879-4cc7-a3ed-cf7482ed9252,1461-1826,1740,male,en ml,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
13,113127,12/13/22 15:30,7955e307-e879-4cc7-a3ed-cf7482ed9252,1461-1826,1740,male, en ml,mirror_crack,Bobby,second,made,"""Sophia.""",Sophia,
14,113128,12/13/22 15:37,f066fd21-4651-425b-a42e-aae311fb9bb2,1461-1826,1710,female,en ro,fence_break,Suzy,first,made,"""Suzy.""",Suzy,
14,113128,12/13/22 15:37,f066fd21-4651-425b-a42e-aae311fb9bb2,1461-1826,1710,female,en ro,fence_break,Suzy,first,break,"""Andy.""",Andy,
14,113128,12/13/22 15:37,f066fd21-4651-425b-a42e-aae311fb9bb2,1461-1826,1710,female,en ro,mirror_crack,Bobby,second,crack,"""Sophia.""",Sophia,
14,113128,12/13/22 15:37,f066fd21-4651-425b-a42e-aae311fb9bb2,1461-1826,1710,female,en ro,mirror_crack,Bobby,second,made,"""Bobby.""",Bobby,
15,113224,12/14/22 11:00,42c2be43-88e3-486c-a50a-372f5ee22537,1461-1826,1740,female,en,fence_break,Andy,second,break,"""Andy.""",Andy,
15,113224,12/14/22 11:00,42c2be43-88e3-486c-a50a-372f5ee22537,1461-1826,1740,female,en,fence_break,Andy,second,made,"""Andy.""",Andy,
