workerid,proliferate.condition,internal_node_id,responses,rt,time_elapsed,trial_index,trial_type,participants.age,participants.ethnicity,participants.feedback,participants.gender,participants.race,participants.time,error
674,condition,0.0-3.0,"{""sunburn_simple_response"":""Sun""}",16580.2,265272,16,survey-text,36,Hispanic,I didn't see the second scenario,Male,White,103328.6,
674,condition,0.0-4.0,"{""sunburn_cause_response"":""She forgot her sunscreen at home""}",39341.6,304881,17,survey-text,36,Hispanic,I didn't see the second scenario,Male,White,103328.6,
674,condition,0.0-7.0,"{""flood_simple_response"":""Sun""}",31211.4,366884,42,survey-text,36,Hispanic,I didn't see the second scenario,Male,White,103328.6,
674,condition,0.0-8.0,"{""flood_cause_response"":""sun burn""}",11552.6,378689,43,survey-text,36,Hispanic,I didn't see the second scenario,Male,White,103328.6,
639,condition,0.0-3.0,"{""sunburn_cause_response"":""Sun light""}",45598,138595,16,survey-text,66,Non-Hispanic,,Male,White,11365,
639,condition,0.0-4.0,"{""sunburn_simple_response"":""The sun.  She was overexposed to sunlight.""}",51197,190046,17,survey-text,66,Non-Hispanic,,Male,White,11365,
639,condition,0.0-7.0,"{""flood_cause_response"":""Unexpected rain, in gigantic amounts, caused water to come in through the open window.""}",42817,327073,42,survey-text,66,Non-Hispanic,,Male,White,11365,
639,condition,0.0-8.0,"{""flood_simple_response"":""Water flooded the basement.""}",12274,339599,43,survey-text,66,Non-Hispanic,,Male,White,11365,
667,condition,0.0-3.0,"{""sunburn_simple_response"":""The sun""}",22538.2,213394,16,survey-text,37,Non-Hispanic,I made a careful study of the stories,Male,White,67158.8,
667,condition,0.0-4.0,"{""sunburn_cause_response"":""Forgetting to take her sunscreen to the beach""}",103726.5,317376,17,survey-text,37,Non-Hispanic,I made a careful study of the stories,Male,White,67158.8,
667,condition,0.0-7.0,"{""flood_simple_response"":""Rain""}",29431,565934,42,survey-text,37,Non-Hispanic,I made a careful study of the stories,Male,White,67158.8,
667,condition,0.0-8.0,"{""flood_cause_response"":""The latch of the window was removed for repairs""}",67219.8,633421,43,survey-text,37,Non-Hispanic,I made a careful study of the stories,Male,White,67158.8,
