workerid,proliferate.condition,age,ethnicity,feedback,gender,race,time,error
674,condition,36,Hispanic,I didn't see the second scenario,Male,White,103328.6,
639,condition,66,Non-Hispanic,,Male,White,11365,
667,condition,37,Non-Hispanic,I made a careful study of the stories,Male,White,67158.8,
616,condition,43,Non-Hispanic,"I don't believe in sunscreen and I think it is a product that we have been conditioned to think we need, so that influenced my answers about Suzy.  ",Male,White,74921.9,
650,condition,23,Non-Hispanic,The pictures and stories influenced how I responded.,Male,White,71993.1,
669,condition,22,Non-Hispanic,I answered solely on the fact of the matter.,Male,"mixed with black, white, and native american",59306,
678,condition,75,,"I tried to factor into the situation the actual cause or the event. Not just a window being left open, but the fact that it started raining, or not just forgetting to put on sunscreen, but she had left the sunscreen home.",Female,White,159432.4,
649,condition,29,Non-Hispanic,,Female,White,148205.1,
652,condition,20,Non-Hispanic,The events that happened in the story. No.,Male,Asian,33756.9,
619,condition,19,,,,,13167.6,
654,condition,55,Hispanic,,Male,White,19003,
681,condition,19,,I answered based on my knowledge of the scenarios.,Female,White,31083.7,
671,condition,19,Non-Hispanic,,Female,White,13810.1,
677,condition,29,Non-Hispanic,The information given influenced my responses. ,Female,Black/African American,49167.8,
658,condition,24,Non-Hispanic,No questions. I answered based on the facts presented. ,Female,White,23411.54,
615,condition,27,Non-Hispanic,"The specific wording of the question was the most important aspect of how I responded. I have no questions or further comments, but I suspect the study is on causality?",Male,White,74844.8,
683,condition,42,Non-Hispanic,I just responded as I saw fit.,Male,White,16804,
651,condition,30,Hispanic,literal interpretation and examination of possibilities. ,Female,White,52364.9,
624,condition,33,Non-Hispanic,The pictures influenced to decide to respond.,Male,White,64882,
653,condition,24,Non-Hispanic,"I'd love to live in a world where the generic handyman character can be a woman. I'm sure that's not the point of this experiment, but I think it's important for all children to see that.",Female,White,110269,
638,condition,37,Non-Hispanic,I think you are trying to study how people place blame. ,Male,White,100153.4,
640,condition,35,Non-Hispanic,understanding the comics,Male,White,73202,
672,condition,29,Non-Hispanic,No,Female,White,12489,
647,condition,29,Hispanic,The images,Female,,30314,
623,condition,22,Non-Hispanic,,Male,White,10385.3,
628,condition,34,Non-Hispanic,nothing,Male,White,285602.6,
660,condition,33,Non-Hispanic,I thought about what caused what to happen.,Male,White,38006,
679,condition,23,Non-Hispanic,The descriptions on each photo factored into how I responded,Female,,53803.4,
655,condition,23,Non-Hispanic,No,Female,White,13481.7,
668,condition,30,Hispanic,the narrative. the picture that stayed on the screen (of the sunscreen and of andy in his work area) weren't needed for me to remember,Female,,58079.2,
629,condition,19,Non-Hispanic,Seemed like cause and effect scenarios.,Male,Asian,41478.3,
682,condition,18,Non-Hispanic,The directness of the question was related to how direct the cause was,Male,White,37218.1,
618,condition,38,Non-Hispanic,No.,Female,White,18605.8,
630,condition,18,Non-Hispanic,,Male,White,10369.8,
633,condition,30,Non-Hispanic,,Male,Black/African American,29552.7,
675,condition,36,Non-Hispanic,"I was influenced by the way the two questions were worded. One asked what happened for which I gave a simple answer. The other asked why, to answer those I tried to figure out an underlying cause. ",Male,White,126402,
661,condition,23,Non-Hispanic,I'm confused on if this study is researching if people prescribe more blame to the person vs the situation. ,Female,Black/African American,163715.8,
634,condition,34,Non-Hispanic,no,Male,White,20149.045,
664,condition,35,Non-Hispanic,"no factors, i answered as i deemed fit",Male,Black/African American,40858.2,
636,condition,33,Non-Hispanic,None,Female,White,21804.2,
620,condition,37,Non-Hispanic,no,Male,White,59358.5,
662,condition,34,Hispanic,No.,Female,,26724.8,
622,condition,34,Non-Hispanic,none,Male,White,32393.4,
648,condition,35,Non-Hispanic,The way the questions were worded,Female,White,28952.9,
657,condition,28,Non-Hispanic,This was silly to say the least. ,Male,Asian,154219,
617,condition,40,Non-Hispanic,,Female,White,16997.4,
665,condition,22,Non-Hispanic,"I felt that this study was a bit off in terms of the gender roles portrayed. The scenario with involving fixing the window showed a man completing this task, while the scenario involving very obviously having forgotten something showed a woman. I feel that this is cementing of gender roles in a negative way, as the woman in these scenarios is portrayed as very obviously forgetful in a matter of fact sense, while there is more leeway to describe why the unfortunate scenario happened to the man. Perhaps this is the point of the study, but if not then you should consider adding more scenarios or reversing the gender roles to bring this study into the 21st century, in my opinion. ",Female,White,165351,
621,condition,34,,No,Male,Black/African American,21300.4,
676,condition,28,Hispanic,I just read the scenario and listed the direct reason for each thing happening,Female,White,34635,
673,condition,26,Hispanic,Good luck on the study! ,Female,Latina,23235,
680,condition,44,Non-Hispanic,no questions or comments,Female,White,30063.8,
632,condition,36,,,Male,Black/African American,43839.8,
656,condition,30,Non-Hispanic,,Male,Asian,11870.2,
666,condition,28,Non-Hispanic,very good study,Male,White,133530,
684,condition,25,Hispanic,"I used past events in the story to help me decide me response.

What was the purpose of keeping the pictures on the screen?",Female,White,64888.7,
625,condition,29,Non-Hispanic,Work on providing a smoother experience. pictures and questions wouldn't appear,Male,White,53135.9,
663,condition,27,,,Female,White,7072.5,
659,condition,31,Non-Hispanic,,Female,White,12607.4,
641,condition,18,Non-Hispanic,Experience,Female,White,17768,
631,condition,39,Non-Hispanic,All went well,Male,White,22910,
