participant,scenario,cause_question_order,question,response,direct,absence,age,both,age_whole,age_character,response_pattern
1,sunburn,second,lexical,the sun burned suzy's skin,1,0,9.62,0,9,7-9,different
1,flood,second,lexical,the flood that the rain caused,1,0,9.62,0,9,7-9,different
1,flood,second,caused,the rain,1,0,9.62,0,9,7-9,different
2,sunburn,second,caused,forgetting her sunscreen,0,1,7.32,0,7,7-9,different
2,flood,second,lexical,the rain that fell from the sky really hard,1,0,7.32,0,7,7-9,different
3,flood,first,caused,because the water rose so high that it started to flood,1,0,9.12,0,9,7-9,different
3,flood,first,lexical,water,1,0,9.12,0,9,7-9,different
3,sunburn,first,caused,cause she didn't put any sunscreen on,0,1,9.12,0,9,7-9,different
3,sunburn,first,lexical,the hot sun,1,0,9.12,0,9,7-9,different
4,flood,second,lexical,the water,1,0,7.48,0,7,7-9,different
4,sunburn,first,caused,the sun,1,0,7.48,0,7,7-9,different
4,sunburn,first,lexical,the sun,1,0,7.48,0,7,7-9,different
5,sunburn,second,lexical,the sun,1,0,7.64,0,7,7-9,different
5,sunburn,second,caused,the sun,1,0,7.64,0,7,7-9,different
5,flood,first,caused,the rain,1,0,7.64,0,7,7-9,different
5,flood,first,lexical,the rain,1,0,7.64,0,7,7-9,different
6,flood,second,lexical,water,1,0,8.47,0,8,7-9,different
6,flood,second,caused,rain,1,0,8.47,0,8,7-9,different
6,sunburn,second,lexical,the sun,1,0,8.47,0,8,7-9,different
6,sunburn,second,caused,the sun,1,0,8.47,0,8,7-9,different
7,sunburn,first,caused,because she didn't put on sunscreen,0,1,7.4,0,7,7-9,different
7,sunburn,first,lexical,the sun,1,0,7.4,0,7,7-9,different
7,flood,first,caused,the water,1,0,7.4,0,7,7-9,different
8,sunburn,first,caused,she forgot to put her sunscreen on,0,1,8.22,0,8,7-9,different
8,sunburn,first,lexical,the sun,1,0,8.22,0,8,7-9,different
8,flood,first,caused,because the window was open,0,1,8.22,0,8,7-9,different
8,flood,first,lexical,the rain,1,0,8.22,0,8,7-9,different
9,flood,first,lexical,um the window was open and then it was raining really hard and because it was raining really hard it flooded the basement,0,1,9.29,0,9,7-9,different
9,sunburn,second,caused,um the sun caused her skin to burn,1,0,9.29,0,9,7-9,different
10,flood,first,caused,the window was open on the--wait in the basement window and so and it starts raining really hard and so it flooded,0,1,9.78,0,9,7-9,different
10,flood,first,lexical,the rain,1,0,9.78,0,9,7-9,different
10,sunburn,first,lexical,the sun,1,0,9.78,0,9,7-9,different
11,sunburn,second,lexical,sun,1,0,7.32,0,7,7-9,different
11,sunburn,second,caused,sun,1,0,7.32,0,7,7-9,different
11,flood,second,lexical,rain,1,0,7.32,0,7,7-9,different
11,flood,second,caused,rain,1,0,7.32,0,7,7-9,different
12,sunburn,first,caused,because she left the sunscreen at home oh sally!,0,1,7.23,0,7,7-9,different
12,sunburn,first,lexical,the sun,1,0,7.23,0,7,7-9,different
