workerid,proliferate.condition,internal_node_id,responses,rt,time_elapsed,trial_index,trial_type,participants.age,participants.ethnicity,participants.feedback,participants.gender,participants.race,participants.time,error
960,condition 1,0.0-3.0,"{""sunburn_made_response"":""the sun""}",9726,58866,16,survey-text,47,Non-Hispanic,"It would have been helpful to know the different phrasing of the questions as I answered the first, so that it would be easier to see what you were getting at",Female,White,55281,
960,condition 1,0.0-4.0,"{""sunburn_simple_response"":""the sun""}",4163,63282,17,survey-text,47,Non-Hispanic,"It would have been helpful to know the different phrasing of the questions as I answered the first, so that it would be easier to see what you were getting at",Female,White,55281,
960,condition 1,0.0-7.0,"{""flood_made_response"":""the basement flooded because the window was not latched shut against the rain""}",20128,134314,42,survey-text,47,Non-Hispanic,"It would have been helpful to know the different phrasing of the questions as I answered the first, so that it would be easier to see what you were getting at",Female,White,55281,
960,condition 1,0.0-8.0,"{""flood_simple_response"":""the rain flooded the basement""}",6828,141395,43,survey-text,47,Non-Hispanic,"It would have been helpful to know the different phrasing of the questions as I answered the first, so that it would be easier to see what you were getting at",Female,White,55281,
975,condition 1,0.0-3.0,"{""sunburn_simple_response"":"" The sun""}",12457.6,89697,16,survey-text,31,Non-Hispanic,I answered each scenario honestly.,Female,Black/African American,32610.3,
975,condition 1,0.0-4.0,"{""sunburn_made_response"":""The sun""}",5271.5,95228,17,survey-text,31,Non-Hispanic,I answered each scenario honestly.,Female,Black/African American,32610.3,
975,condition 1,0.0-7.0,"{""flood_simple_response"":"" The water""}",6004.5,149778,42,survey-text,31,Non-Hispanic,I answered each scenario honestly.,Female,Black/African American,32610.3,
975,condition 1,0.0-8.0,"{""flood_made_response"":""The water""}",4728.9,154762,43,survey-text,31,Non-Hispanic,I answered each scenario honestly.,Female,Black/African American,32610.3,
1004,condition 1,0.0-3.0,"{""flood_made_response"":""The basement flooded because the latch was broken, so Andy had to take it off the window to fix it.""}",26474.2,86196,25,survey-text,21,Non-Hispanic,Interpreting the scenarios,Female,White,20187.4,
1004,condition 1,0.0-4.0,"{""flood_simple_response"":""The rain""}",5656.6,92107,26,survey-text,21,Non-Hispanic,Interpreting the scenarios,Female,White,20187.4,
1004,condition 1,0.0-7.0,"{""sunburn_made_response"":""The sun and lack of sunscreen""}",8796,128584,42,survey-text,21,Non-Hispanic,Interpreting the scenarios,Female,White,20187.4,
1004,condition 1,0.0-8.0,"{""sunburn_simple_response"":""The sun""}",3544.5,132382,43,survey-text,21,Non-Hispanic,Interpreting the scenarios,Female,White,20187.4,
967,condition 1,0.0-3.0,"{""sunburn_made_response"":""Suzy forgetting to bring her sunscreen, so she wasn't able to put any on.""}",31610.5,95359,16,survey-text,20,Non-Hispanic,The outcome of the scenarios. ,Female,Black/African American,20723.9,
967,condition 1,0.0-4.0,"{""sunburn_simple_response"":""The sun""}",5436.2,101060,17,survey-text,20,Non-Hispanic,The outcome of the scenarios. ,Female,Black/African American,20723.9,
967,condition 1,0.0-7.0,"{""flood_made_response"":""The latch not being on the windows and the rain starting""}",13514.6,175796,42,survey-text,20,Non-Hispanic,The outcome of the scenarios. ,Female,Black/African American,20723.9,
967,condition 1,0.0-8.0,"{""flood_simple_response"":""The rain that caused the water to rise high""}",13641.8,189705,43,survey-text,20,Non-Hispanic,The outcome of the scenarios. ,Female,Black/African American,20723.9,
953,condition 1,0.0-3.0,"{""flood_simple_response"":""water/rain""}",7298.6,80116,25,survey-text,20,Non-Hispanic,N/A,Female,White,15493.6,
953,condition 1,0.0-4.0,"{""flood_made_response"":""the window was open during the rain""}",10508.7,90883,26,survey-text,20,Non-Hispanic,N/A,Female,White,15493.6,
953,condition 1,0.0-7.0,"{""sunburn_simple_response"":""the sun""}",4936.3,129475,42,survey-text,20,Non-Hispanic,N/A,Female,White,15493.6,
953,condition 1,0.0-8.0,"{""sunburn_made_response"":""the sun without sunscreen""}",10517.8,140246,43,survey-text,20,Non-Hispanic,N/A,Female,White,15493.6,
964,condition 1,0.0-3.0,"{""flood_simple_response"":""Andy did not close the window with a temporary block while the latch was gone""}",60980.3,125147,25,survey-text,25,Non-Hispanic,I thought about the person and what they didn't do rather than nature,Female,Asian,41622.2,
964,condition 1,0.0-4.0,"{""flood_made_response"":""The open window""}",9548.6,134947,26,survey-text,25,Non-Hispanic,I thought about the person and what they didn't do rather than nature,Female,Asian,41622.2,
964,condition 1,0.0-7.0,"{""sunburn_simple_response"":""The sunlight""}",12223,166811,42,survey-text,25,Non-Hispanic,I thought about the person and what they didn't do rather than nature,Female,Asian,41622.2,
964,condition 1,0.0-8.0,"{""sunburn_made_response"":""The lack of sunscreen""}",7763.5,174827,43,survey-text,25,Non-Hispanic,I thought about the person and what they didn't do rather than nature,Female,Asian,41622.2,
950,condition 1,0.0-3.0,"{""flood_simple_response"":""Water coming through the open window""}",22122.9,250596,25,survey-text,40,Non-Hispanic,Nothing other than the instructions given. I have no questions. ,Female,Black/African American,48542.9,
950,condition 1,0.0-4.0,"{""flood_made_response"":""The window being opened""}",12994.1,263856,26,survey-text,40,Non-Hispanic,Nothing other than the instructions given. I have no questions. ,Female,Black/African American,48542.9,
950,condition 1,0.0-7.0,"{""sunburn_simple_response"":""The sun""}",19135.5,321554,42,survey-text,40,Non-Hispanic,Nothing other than the instructions given. I have no questions. ,Female,Black/African American,48542.9,
950,condition 1,0.0-8.0,"{""sunburn_made_response"":""Having no sunscreen\n""}",15480.3,337305,43,survey-text,40,Non-Hispanic,Nothing other than the instructions given. I have no questions. ,Female,Black/African American,48542.9,
