participant,scenario,made_question_order,question,direct,absence,age,response_pattern
1,sunburn,second,lexical,1,0,7.64,different
1,sunburn,second,made,0,1,7.64,different
1,flood,second,made,0,1,7.64,different
2,flood,first,made,0,1,9.7,different
2,flood,first,lexical,1,0,9.7,different
2,sunburn,first,lexical,1,0,9.7,different
3,flood,second,lexical,1,0,7.81,different
3,flood,second,made,1,0,7.81,different
3,sunburn,second,lexical,1,0,7.81,different
3,sunburn,second,made,1,0,7.81,different
4,flood,first,made,0,1,7.89,different
4,flood,first,lexical,1,0,7.89,different
5,sunburn,first,made,0,1,7.15,different
5,sunburn,first,lexical,1,0,7.15,different
6,flood,first,made,1,0,9.62,different
6,flood,first,lexical,1,0,9.62,different
6,sunburn,second,lexical,1,0,9.62,different
6,sunburn,second,made,1,0,9.62,different
7,flood,first,made,0,1,7.97,different
7,flood,first,lexical,1,0,7.97,different
7,sunburn,second,lexical,1,0,7.97,different
8,sunburn,first,made,0,1,8.14,different
8,sunburn,first,lexical,1,0,8.14,different
8,flood,second,lexical,1,0,8.14,different
8,flood,second,made,1,0,8.14,different
9,sunburn,first,made,1,0,9.29,different
9,sunburn,first,lexical,1,0,9.29,different
9,flood,second,made,0,1,9.29,different
10,flood,second,lexical,1,0,8.47,different
10,flood,second,made,1,0,8.47,different
10,sunburn,second,lexical,1,0,8.47,different
10,sunburn,second,made,1,0,8.47,different
11,sunburn,first,made,0,1,9.62,different
11,sunburn,first,lexical,1,0,9.62,different
11,flood,second,lexical,1,0,9.62,different
11,flood,second,made,0,1,9.62,different
12,sunburn,second,made,0,1,7.32,different
12,flood,first,made,0,1,7.32,different
12,flood,first,lexical,1,0,7.32,different
13,sunburn,second,lexical,1,0,9.78,different
13,sunburn,second,made,0,1,9.78,different
13,flood,first,made,1,0,9.78,different
13,flood,first,lexical,1,0,9.78,different
14,flood,second,made,0,1,9.12,different
15,sunburn,first,made,1,0,8.71,different
15,sunburn,first,lexical,1,0,8.71,different
15,flood,second,made,1,0,8.71,different
16,flood,second,lexical,1,0,8.63,different
16,sunburn,first,made,1,0,8.63,different
17,sunburn,first,made,1,0,7.15,different
17,sunburn,first,lexical,1,0,7.15,different
18,flood,second,lexical,1,0,7.81,different
18,flood,second,made,1,0,7.81,different
18,sunburn,second,lexical,1,0,7.81,different
18,sunburn,second,made,1,0,7.81,different
19,flood,second,lexical,1,0,8.79,different
19,flood,second,made,1,0,8.79,different
19,sunburn,second,lexical,1,0,8.79,different
19,sunburn,second,made,1,0,8.79,different
20,sunburn,second,lexical,1,0,8.79,different
20,sunburn,second,made,1,0,8.79,different
20,flood,first,made,1,0,8.79,different
20,flood,first,lexical,0,1,8.79,different
21,flood,first,made,1,0,9.78,different
21,flood,first,lexical,1,0,9.78,different
21,sunburn,first,made,1,0,9.78,different
21,sunburn,first,lexical,1,0,9.78,different
22,sunburn,second,lexical,1,0,8.05,different
22,sunburn,second,made,1,0,8.05,different
22,flood,second,lexical,1,0,8.05,different
22,flood,second,made,0,1,8.05,different
23,flood,first,made,0,1,7.32,different
23,flood,first,lexical,1,0,7.32,different
24,flood,second,lexical,1,0,8.14,different
24,flood,second,made,1,0,8.14,different
24,sunburn,second,lexical,1,0,8.14,different
24,sunburn,second,made,0,1,8.14,different
25,flood,first,made,0,1,8.96,different
25,flood,first,lexical,1,0,8.96,different
25,sunburn,second,lexical,1,0,8.96,different
25,sunburn,second,made,1,0,8.96,different
26,flood,second,lexical,1,0,9.7,different
26,sunburn,first,made,0,1,9.7,different
26,sunburn,first,lexical,0,1,9.7,different
27,flood,second,made,0,1,9.7,different
27,sunburn,first,made,1,0,9.7,different
27,sunburn,first,lexical,1,0,9.7,different
28,sunburn,second,lexical,1,0,7.23,different
28,sunburn,second,made,1,0,7.23,different
28,flood,second,lexical,1,0,7.23,different
28,flood,second,made,1,0,7.23,different
29,sunburn,first,made,1,0,8.71,different
29,sunburn,first,lexical,1,0,8.71,different
29,flood,first,lexical,1,0,8.71,different
30,flood,first,made,1,0,8.22,different
30,flood,first,lexical,1,0,8.22,different
30,sunburn,first,made,1,0,8.22,different
30,sunburn,first,lexical,1,0,8.22,different
31,sunburn,first,made,1,0,7.73,different
31,sunburn,first,lexical,1,0,7.73,different
31,flood,second,lexical,1,0,7.73,different
31,flood,second,made,1,0,7.73,different
32,flood,second,lexical,1,0,7.23,different
32,flood,second,made,1,0,7.23,different
32,sunburn,second,lexical,1,0,7.23,different
32,sunburn,second,made,1,0,7.23,different
33,flood,first,lexical,1,0,7.32,different
33,sunburn,second,lexical,1,0,7.32,different
33,sunburn,second,made,1,0,7.32,different
34,flood,second,lexical,1,0,7.64,different
34,flood,second,made,1,0,7.64,different
34,sunburn,second,lexical,1,0,7.64,different
34,sunburn,second,made,1,0,7.64,different
35,sunburn,frst,made,0,1,8.05,different
35,flood,first,made,1,0,8.05,different
35,flood,first,lexical,1,0,8.05,different
36,sunburn,second,lexical,1,0,7.64,different
36,sunburn,second,made,1,0,7.64,different
36,flood,second,lexical,1,0,7.64,different
36,flood,second,made,1,0,7.64,different
37,sunburn,first,made,1,0,9.78,different
37,sunburn,first,lexical,1,0,9.78,different
37,flood,second,lexical,1,0,9.78,different
37,flood,second,made,1,0,9.78,different
38,flood,first,lexical,1,0,7.15,different
38,sunburn,first,made,1,0,7.15,different
38,sunburn,first,lexical,1,0,7.15,different
39,flood,first,made,1,0,7.32,different
39,flood,first,lexical,1,0,7.32,different
40,flood,second,lexical,1,0,9.37,different
40,flood,second,made,0,1,9.37,different
40,sunburn,second,lexical,1,0,9.37,different
40,sunburn,second,made,0,1,9.37,different
41,flood,first,made,1,0,7.81,different
41,flood,first,lexical,1,0,7.81,different
41,sunburn,second,lexical,1,0,7.81,different
41,sunburn,second,made,1,0,7.81,different
42,sunburn,second,lexical,1,0,9.21,different
42,sunburn,second,made,1,0,9.21,different
42,flood,first,made,1,0,9.21,different
42,flood,first,lexical,1,0,9.21,different
43,flood,first,made,0,1,7.4,different
43,flood,first,lexical,1,0,7.4,different
43,sunburn,first,made,1,0,7.4,different
43,sunburn,first,lexical,1,0,7.4,different
44,sunburn,second,lexical,1,0,7.56,different
44,sunburn,second,made,1,0,7.56,different
44,flood,second,lexical,1,0,7.56,different
44,flood,second,made,0,1,7.56,different
45,sunburn,first,made,1,0,9.53,different
45,sunburn,first,lexical,1,0,9.53,different
45,flood,first,made,1,0,9.53,different
45,flood,first,lexical,1,0,9.53,different
46,flood,first,made,0,1,7.32,different
46,flood,first,lexical,0,1,7.32,different
46,sunburn,first,made,0,1,7.32,different
46,sunburn,first,lexical,1,0,7.32,different
47,sunburn,scond,lexical,1,0,7.4,different
47,sunburn,second,made,1,0,7.4,different
47,flood,second,lexical,1,0,7.4,different
47,flood,second,made,1,0,7.4,different
48,flood,second,lexical,1,0,8.3,different
48,flood,second,made,0,1,8.3,different
48,sunburn,first,made,1,0,8.3,different
48,sunburn,first,lexical,1,0,8.3,different
49,sunburn,first,made,1,0,8.79,different
49,sunburn,first,lexical,1,0,8.79,different
49,flood,first,made,1,0,8.79,different
49,flood,first,lexical,1,0,8.79,different
50,sunburn,second,made,1,0,7.15,different
50,flood,first,made,0,1,7.15,different
50,flood,first,lexical,1,0,7.15,different
51,sunburn,second,made,1,0,8.47,different
51,flood,second,lexical,1,0,8.47,different
51,flood,second,made,1,0,8.47,different
52,sunburn,second,lexical,1,0,7.81,different
52,sunburn,second,made,1,0,7.81,different
52,flood,first,made,0,1,7.81,different
52,flood,first,lexical,1,0,7.81,different
53,flood,first,lexical,1,0,8.3,different
53,sunburn,second,lexical,1,0,8.3,different
54,sunburn,second,lexical,1,0,9.53,different
54,sunburn,second,made,1,0,9.53,different
54,flood,second,lexical,1,0,9.53,different
54,flood,second,made,1,0,9.53,different
55,sunburn,second,lexical,1,0,8.55,different
56,sunburn,second,lexical,1,0,9.04,different
56,flood,first,made,1,0,9.04,different
56,flood,first,lexical,1,0,9.04,different
57,sunburn,second,lexical,1,0,8.96,different
57,sunburn,second,made,1,0,8.96,different
57,flood,first,made,1,0,8.96,different
57,flood,first,lexical,1,0,8.96,different
58,sunburn,second,made,0,1,9.78,different
58,flood,second,lexical,0,1,9.78,different
59,flood,second,lexical,1,0,7.56,different
59,flood,second,made,1,0,7.56,different
59,sunburn,second,lexical,1,0,7.56,different
59,sunburn,second,made,1,0,7.56,different
61,sunburn,second,lexical,1,0,4.6,different
61,sunburn,second,made,1,0,4.6,different
61,flood,first,made,1,0,4.6,different
61,flood,first,lexical,1,0,4.6,different
62,sunburn,second,lexical,1,0,4.27,different
62,sunburn,second,made,1,0,4.27,different
63,flood,second,lexical,1,0,4.11,different
63,flood,second,made,1,0,4.11,different
63,sunburn,first,made,1,0,4.11,different
63,sunburn,first,lexical,1,0,4.11,different
64,flood,second,lexical,1,0,4.93,different
64,flood,second,made,1,0,4.93,different
64,sunburn,first,made,1,0,4.93,different
64,sunburn,first,lexical,1,0,4.93,different
65,flood,second,lexical,1,0,4.03,different
65,flood,second,made,1,0,4.03,different
65,sunburn,second,lexical,1,0,4.03,different
66,sunburn,second,lexical,1,0,4.19,different
66,sunburn,second,made,1,0,4.19,different
66,flood,second,lexical,1,0,4.19,different
67,sunburn,second,lexical,1,0,4.44,different
67,sunburn,second,made,1,0,4.44,different
67,flood,first,made,1,0,4.44,different
68,sunburn,second,made,1,0,4.11,different
69,sunburn,first,made,1,0,4.03,different
69,flood,first,made,1,0,4.03,different
69,flood,first,lexical,1,0,4.03,different
70,sunburn,first,made,1,0,4.93,different
70,flood,first,made,1,0,4.93,different
70,flood,first,lexical,1,0,4.93,different
71,flood,second,made,1,0,4.03,different
71,sunburn,second,lexical,0,1,4.03,different
71,sunburn,second,made,0,1,4.03,different
72,flood,first,lexical,1,0,4.27,different
72,sunburn,first,made,1,0,4.27,different
72,sunburn,first,lexical,1,0,4.27,different
73,flood,first,made,1,0,4.03,different
73,flood,first,lexical,1,0,4.03,different
73,sunburn,first,made,0,1,4.03,different
73,sunburn,first,lexical,0,1,4.03,different
74,sunburn,first,made,1,0,4.44,different
74,sunburn,first,lexical,1,0,4.44,different
74,flood,second,lexical,1,0,4.44,different
74,flood,second,made,1,0,4.44,different
75,sunburn,second,made,0,1,4.19,different
75,flood,first,made,1,0,4.19,different
75,flood,first,lexical,1,0,4.19,different
76,sunburn,second,lexical,0,1,4.36,different
76,sunburn,second,made,0,1,4.36,different
77,flood,first,made,1,0,4.77,different
77,flood,first,lexical,1,0,4.77,different
77,sunburn,first,made,1,0,4.77,different
78,sunburn,first,made,1,0,4.03,different
78,sunburn,first,lexical,1,0,4.03,different
78,flood,second,lexical,1,0,4.03,different
78,flood,second,made,1,0,4.03,different
79,flood,second,lexical,1,0,4.85,different
79,flood,second,made,1,0,4.85,different
79,sunburn,second,lexical,1,0,4.85,different
79,sunburn,second,made,1,0,4.85,different
80,flood,second,lexical,1,0,4.11,different
80,flood,second,made,1,0,4.11,different
80,sunburn,first,made,1,0,4.11,different
80,sunburn,first,lexical,1,0,4.11,different
81,sunburn,first,made,1,0,4.36,different
81,sunburn,first,lexical,1,0,4.36,different
81,flood,second,lexical,1,0,4.36,different
81,flood,second,made,1,0,4.36,different
82,sunburn,first,made,1,0,4.52,different
82,sunburn,first,lexical,1,0,4.52,different
82,flood,second,lexical,1,0,4.52,different
82,flood,second,made,1,0,4.52,different
83,flood,first,made,1,0,4.36,different
83,flood,first,lexical,1,0,4.36,different
83,sunburn,first,made,1,0,4.36,different
83,sunburn,first,lexical,1,0,4.36,different
84,sunburn,second,made,1,0,4.27,different
84,flood,first,made,1,0,4.27,different
84,flood,first,lexical,1,0,4.27,different
85,flood,second,lexical,1,0,4.68,different
85,flood,second,made,0,1,4.68,different
85,sunburn,first,made,1,0,4.68,different
85,sunburn,first,lexical,1,0,4.68,different
86,flood,second,lexical,1,0,4.11,different
86,flood,second,made,1,0,4.11,different
86,sunburn,second,lexical,1,0,4.11,different
86,sunburn,second,made,0,1,4.11,different
87,sunburn,first,made,1,0,4.44,different
87,sunburn,first,lexical,1,0,4.44,different
87,flood,first,made,1,0,4.44,different
87,flood,first,lexical,1,0,4.44,different
88,flood,second,made,1,0,4.85,different
88,sunburn,first,lexical,1,0,4.85,different
89,flood,second,lexical,1,0,4.52,different
89,sunburn,first,made,1,0,4.52,different
89,sunburn,first,lexical,1,0,4.52,different
90,flood,second,lexical,1,0,4.77,different
90,flood,second,made,1,0,4.77,different
90,sunburn,second,lexical,1,0,4.77,different
90,sunburn,second,made,1,0,4.77,different
91,flood,second,lexical,1,0,5.4,different
91,flood,second,made,1,0,5.4,different
91,sunburn,first,made,1,0,5.4,different
91,sunburn,first,lexical,1,0,5.4,different
92,flood,first,made,1,0,5.67,different
92,flood,first,lexical,1,0,5.67,different
92,sunburn,second,lexical,1,0,5.67,different
93,flood,first,made,1,0,5.75,different
93,flood,first,lexical,1,0,5.75,different
93,sunburn,second,lexical,1,0,5.75,different
93,sunburn,second,made,1,0,5.75,different
94,sunburn,first,made,1,0,5.42,different
94,sunburn,first,lexical,1,0,5.42,different
95,sunburn,second,lexical,0,1,5.26,different
95,sunburn,second,made,1,0,5.26,different
95,flood,second,lexical,1,0,5.26,different
96,flood,first,made,1,0,5.51,different
96,flood,first,lexical,1,0,5.51,different
96,sunburn,first,lexical,1,0,5.51,different
97,sunburn,second,lexical,1,0,5.51,different
97,sunburn,second,made,0,1,5.51,different
98,sunburn,second,lexical,1,0,5.51,different
98,sunburn,second,made,1,0,5.51,different
99,flood,second,lexical,1,0,5.01,different
99,flood,second,made,1,0,5.01,different
99,sunburn,second,lexical,1,0,5.01,different
99,sunburn,second,made,1,0,5.01,different
100,sunburn,first,made,0,1,5.18,different
100,sunburn,first,lexical,0,1,5.18,different
100,flood,second,lexical,1,0,5.18,different
100,flood,second,made,1,0,5.18,different
101,sunburn,second,made,1,0,5.92,different
101,flood,second,lexical,1,0,5.92,different
101,flood,second,made,1,0,5.92,different
102,sunburn,second,lexical,1,0,5.92,different
102,sunburn,second,made,1,0,5.92,different
102,flood,second,lexical,0,1,5.92,different
102,flood,second,made,1,0,5.92,different
103,sunburn,first,lexical,1,0,5.67,different
103,flood,second,lexical,1,0,5.67,different
103,flood,second,made,1,0,5.67,different
104,flood,first,made,0,1,5.34,different
104,flood,first,lexical,0,1,5.34,different
104,sunburn,first,made,1,0,5.34,different
104,sunburn,first,lexical,1,0,5.34,different
105,flood,first,made,1,0,5.18,different
105,flood,first,lexical,1,0,5.18,different
105,sunburn,first,made,1,0,5.18,different
105,sunburn,first,lexical,1,0,5.18,different
106,flood,second,lexical,1,0,5.92,different
106,flood,second,made,1,0,5.92,different
106,sunburn,first,made,1,0,5.92,different
106,sunburn,first,lexical,1,0,5.92,different
107,flood,second,lexical,1,0,5.26,different
107,sunburn,first,made,1,0,5.26,different
108,sunburn,first,made,0,1,5.84,different
108,sunburn,first,lexical,0,1,5.84,different
108,flood,first,made,0,1,5.84,different
108,flood,first,lexical,0,1,5.84,different
109,sunburn,first,made,1,0,5.34,different
109,sunburn,first,lexical,1,0,5.34,different
109,flood,second,lexical,1,0,5.34,different
109,flood,second,made,1,0,5.34,different
110,sunburn,second,made,0,1,5.1,different
110,flood,second,lexical,0,1,5.1,different
111,sunburn,second,made,1,0,5.42,different
111,flood,second,lexical,1,0,5.42,different
111,flood,second,made,1,0,5.42,different
112,sunburn,second,lexical,1,0,5.42,different
112,sunburn,second,made,1,0,5.42,different
112,flood,second,lexical,1,0,5.42,different
112,flood,second,made,1,0,5.42,different
113,sunburn,first,made,0,1,5.59,different
113,sunburn,first,lexical,1,0,5.59,different
113,flood,second,lexical,1,0,5.59,different
113,flood,second,made,1,0,5.59,different
114,flood,second,lexical,1,0,5.75,different
114,flood,second,made,0,1,5.75,different
114,sunburn,first,made,0,1,5.75,different
114,sunburn,first,lexical,1,0,5.75,different
115,sunburn,second,lexical,1,0,5.75,different
115,sunburn,second,made,1,0,5.75,different
115,flood,second,lexical,1,0,5.75,different
115,flood,second,made,1,0,5.75,different
116,sunburn,first,made,1,0,5.18,different
116,sunburn,first,lexical,1,0,5.18,different
