participant _number,response_id,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario,made_question_order,question_type,full_response,notes
1,90044,01e6fa74-d74a-453c-9600-a9244e750179,2556-3652,2790,female,en,sunburn,second,simple,Sun.,
1,90044,01e6fa74-d74a-453c-9600-a9244e750179,2556-3652,2790,female,en,sunburn,second,made,She forgot to bring her sunscreen.,
1,90044,01e6fa74-d74a-453c-9600-a9244e750179,2556-3652,2790,female,en,flood,second,simple,He forgot the window was open so the water flooded in.,
1,90044,01e6fa74-d74a-453c-9600-a9244e750179,2556-3652,2790,female,en,flood,second,made,By him not closing the window.,
2,90092,7d5b78e5-fc5b-4952-b6d5-dc8354ed545d,2556-3652,3540,male,en,flood,first,made,It was raining really hard and the window was open.,
2,90092,7d5b78e5-fc5b-4952-b6d5-dc8354ed545d,2556-3652,3540,male,en,flood,first,simple,Rain water flooded the basement.,
2,90092,7d5b78e5-fc5b-4952-b6d5-dc8354ed545d,2556-3652,3540,male,en,sunburn,first,made,The sun because she forgot her sunscreen.,
2,90092,7d5b78e5-fc5b-4952-b6d5-dc8354ed545d,2556-3652,3540,male,en,sunburn,first,simple,The sun burned Suzy's skin.,
3,90104,308ea07b-3d80-4fa1-bdac-ed796298808b,2556-3652,2850,male,en,flood,second,simple,The rain.,
3,90104,308ea07b-3d80-4fa1-bdac-ed796298808b,2556-3652,2850,male,en,flood,second,made,The rain.,
3,90104,308ea07b-3d80-4fa1-bdac-ed796298808b,2556-3652,2850,male,en,sunburn,second,simple,The sun.,
3,90104,308ea07b-3d80-4fa1-bdac-ed796298808b,2556-3652,2850,male,en,sunburn,second,made,The sun.,
4,90108,cf335297-1028-460e-a5b1-924b53a04287,2556-3652,2880,male,en ur,sunburn,first,made,The sun makes her skin burn. I don't understand why she forgot her sunscreen but she had better run back home to get it. She wants to stay at the beach.,*autism spectrum disorder
4,90108,cf335297-1028-460e-a5b1-924b53a04287,2556-3652,2880,male,en ur,sunburn,first,simple,"That what do we, what I said.",*autism spectrum disorder
4,90108,cf335297-1028-460e-a5b1-924b53a04287,2556-3652,2880,male,en ur,flood,first, made,"He took the window latch to his workshop to fix it, but the window was open and it, started, and the flood started. Dang it.",*autism spectrum disorder
4,90108,cf335297-1028-460e-a5b1-924b53a04287,2556-3652,2880,male,en ur,flood,first,simple,The rain was really hard and it started to flood.,*autism spectrum disorder
5,90205,1806d5a6-90aa-459d-8cd9-92d34f7ad53b,2556-3652,2610,male,en fr ml,sunburn,first,made,Because she left her sunscreen at home.,
5,90205,1806d5a6-90aa-459d-8cd9-92d34f7ad53b,2556-3652,2610,male,en fr ml,sunburn,first,simple,The sun.,
5,90205,1806d5a6-90aa-459d-8cd9-92d34f7ad53b,2556-3652,2610,male,en fr ml,flood,first,made,"Because the window was open, and the water came in because it rained really hard.",
5,90205,1806d5a6-90aa-459d-8cd9-92d34f7ad53b,2556-3652,2610,male,en fr ml,flood,first,simple,Because it was a really bad storm and the place got flooded somehow.,
