participant _number,file_name,test_date,response_id,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario_1,full_response,scenario_2,full_response,notes
1,20230403_01,4/3,128626,d134e6ee-bf9b-4a92-8824-517023d17a0d,1461-1826,1740,female,en,flood,Because the windows were open and the water was getting into the house's window.,sunburn,Because she forgot her sunscreen.,
2,20230404_02,4/4,128820,9bf382e4-1787-465b-a284-c841c7736e28,1461-1826,1500,female,en,flood,Because Andy took the latch out.,sunburn,Because she forgot her sunscreen.,
3,20230405_02,4/5,129075,01182eb4-2521-4ede-8dbc-9106dffa8821,1461-1826,1530,female,en,sunburn,Because it's a hot day at the beach.,flood,Because it's raining.,
4,20230405_03,4/5,129084,247cad31-1b9a-419e-800e-4b8b2d74c9ee,1461-1826,1650,male,en,flood,Because he left his window open.,sunburn,Because she forgot her sunscreen on the table.,
5,20230406_02,4/6,129195,7044dfbd-6c1e-4cdf-b3f8-7dbd6c1752df,1461-1826,1560,male,en,sunburn,I don't know. ,flood,Because the water came in.,
6,20230406_06,4/6,129234,c7d0dc20-f4c0-45cf-b746-d46d7c20a9cf,1461-1826,1650,male,en,sunburn,Because the sun.,flood,Because the water got too high.,
7,20230406_08,4/6,129275,ad9b2c07-3bf1-4958-a2e3-ef95981628cf,1461-1826,1590,female,en,sunburn,Because she left her sunscreen.,flood,Because the window was all open.,
8,20230406_11,4/6,129285,8d8fef18-f6f1-43a5-a48e-d22ffeb5e057,1461-1826,1800,female,en,flood,Because the window was open.,sunburn,Because she left her sunscreen at home.,
9,20230406_12,4/6,129304,96e861e1-d38e-4ab7-b788-409b90e8217d,1461-1826,1710,female,en,sunburn,Because it's sun out there.,flood,Because it was raining.,
10,20230406_14,4/6,129317,d09d200b-af0f-4227-b467-c9f8063ddbc4,1461-1826,1770,female,en,flood,Because the windows were opened. ,sunburn,The sun. Cause it's so hot.,
11,20230407_01,4/7,129344,ba449401-9687-4061-ad62-ef694cc38cde,1461-1826,1620,female,en,flood,Because it was raining.,sunburn,Because she didn't bring her sunscreen.,
12,20230407_07,4/7,129432,638aede3-d2e4-48a3-812f-77847035d71a,1461-1826,1740,male,en,flood,Cause the window was opened.,sunburn,Cause she forgot her sunscreen.,
13,20230407_08,4/7,129451,c1c02588-da76-435f-80ec-9ce8e6140962,1461-1826,1740,female,en,flood,Cause there was water.,sunburn,"Cause she has no lotion, she didn't put on the lotion.",
14,20230407_09,4/7,129454,f5328af9-e7ca-48ef-9bf9-4504eaa5d34e,1461-1826,1710,male,en,flood,The window was open.,sunburn,Because she forgot sunscreen.,
15,20230407_11,4/7,129505,8d2b1db6-76c3-4b01-be8a-c55ce3e5abc6,1461-1826,1590,female,en de,sunburn,Didn't have sunscreen.,flood,The basement didn't close the door.,
16,20230408_03,4/8,129581,65434ee0-4925-4795-a235-aa38eaed94e0,1461-1826,1680,female,en,sunburn,Because she didn't bring her sunscreen.,flood,Because the water came inside.,
17,20230409_02,4/9,129652,4e56907a-f2d9-4aa1-8c7a-8e181311b3cb,1461-1826,1560,female,en pes,sunburn,Cause she forgot her sunscreen.,flood,Cause he forgot to close the windows.,
18,20230410_06,4/10,129768,47007437-5176-4cd0-9b32-14e855ff01ce,1461-1826,1530,male,en he uk,sunburn,Because of the sun.,flood,Because of the rain.,
19,20230410_16,4/10,129908,d2ca53c6-23e2-427e-ac02-28c6ffa0288c,1461-1826,1800,female,en fr ru,flood,Because it rained.,sunburn,Because she forgot her sunscreen.,
20,20230410_17,4/10,129913,4e603f29-6225-4299-b4a6-872d2d23d253,1461-1826,1650,female,en,sunburn,Because she didn't bring the sunscreen.,flood,Because he left the window open.,
21,20230411_01,4/11,130010,d681bbf0-09cd-4cce-b3b3-cdfc4735c39f,1461-1826,1650,female,en,flood,Because the window was open and it was raining.,sunburn,Because she didn't bring her sunscreen.,
22,20230413_01,4/13,130387,5328b0ef-93d3-4e48-994e-73ad284a6944,1461-1826,1620,female,en,sunburn,Because she forgot to put on her sunscreen.,flood,Because the window opened.,
23,20230413_03,4/13,130456,a4078d4c-9c5c-45cb-abc0-0a791c579c79,1461-1826,1650,female,en,flood,Because of the rain.,sunburn,Because she didn't did her lotion.,
24,20230414_01,4/14,130565,259cb56e-d178-47f8-9560-26694b82ea39,1461-1826,1650,female,en pl so,sunburn,Because she forgot her sunscreen.,flood,Because it was raining.,
25,20230415_01,4/15,130740,8923fdc0-d210-4215-8094-8b29db237b7e,1461-1826,1470,male,en,flood,Because he didn't work on the window he left.,sunburn,Because she didn't bring her sunscreen.,
